transectid,exp_id,start_datetime,end_datetime,campaing,region,country,country_code,timezone,reef_name,reef_type,sub_region,local_region
10001,10,2012-09-16 16:16:00,2012-09-16 16:53:00,GBR,Australia,Australia,au,10,Opal Reef,Outer,Cairns-Cooktown,Great Barrier Reef
10002,10,2012-09-17 10:54:00,2012-09-17 11:54:00,GBR,Australia,Australia,au,10,Opal Reef,Outer,Cairns-Cooktown,Great Barrier Reef
10003,10,2012-09-18 13:30:16,2012-09-18 14:10:05,GBR,Australia,Australia,au,10,Opal Reef,Outer,Cairns-Cooktown,Great Barrier Reef
10004,10,2012-09-20 12:43:39,2012-09-20 13:26:24,GBR,Australia,Australia,au,10,Holmes Reef,Outer,Coral Sea,Coral Sea
10005,10,2012-09-20 15:43:39,2012-09-20 16:26:02,GBR,Australia,Australia,au,10,Holmes Reef,Outer,Coral Sea,Coral Sea
10006,10,2012-09-20 15:45:00,2012-09-20 16:35:00,GBR,Australia,Australia,au,10,Holmes Reef,Outer,Coral Sea,Coral Sea
10007,10,2012-09-21 13:03:00,2012-09-21 13:35:00,GBR,Australia,Australia,au,10,Holmes Reef,Outer,Coral Sea,Coral Sea
10008,10,2012-09-21 09:17:00,2012-09-21 10:00:00,GBR,Australia,Australia,au,10,Holmes Reef,Outer,Coral Sea,Coral Sea
10009,10,2012-09-22 08:37:00,2012-09-22 09:21:00,GBR,Australia,Australia,au,10,Holmes Reef,Outer,Coral Sea,Coral Sea
10010,10,2012-09-22 10:53:07,2012-09-22 11:39:49,GBR,Australia,Australia,au,10,Holmes Reef,Outer,Coral Sea,Coral Sea
10011,10,2012-09-23 12:19:00,2012-09-23 13:04:00,GBR,Australia,Australia,au,10,Flinders Reef,Outer,Coral Sea,Coral Sea
10012,10,2012-09-23 14:30:09,2012-09-23 15:20:04,GBR,Australia,Australia,au,10,Flinders Reef,Outer,Coral Sea,Coral Sea
10013,10,2012-09-24 14:53:08,2012-09-24 15:10:46,GBR,Australia,Australia,au,10,Flinders Reef,Outer,Coral Sea,Coral Sea
10014,10,2012-09-24 09:10:00,2012-09-24 09:56:00,GBR,Australia,Australia,au,10,Flinders Reef,Outer,Coral Sea,Coral Sea
10015,10,2012-09-25 13:31:01,2012-09-25 13:43:19,GBR,Australia,Australia,au,10,Flinders Reef,Outer,Coral Sea,Coral Sea
10016,10,2012-09-25 08:52:00,2012-09-25 09:38:00,GBR,Australia,Australia,au,10,Flinders Reef,Outer,Coral Sea,Coral Sea
10017,10,2012-09-25 15:09:00,2012-09-25 15:54:00,GBR,Australia,Australia,au,10,Flinders Reef,Outer,Coral Sea,Coral Sea
10018,10,2012-09-26 15:36:36,2012-09-26 16:21:13,GBR,Australia,Australia,au,10,Flinders Reef,Outer,Coral Sea,Coral Sea
10019,10,2012-09-26 08:16:00,2012-09-26 09:02:00,GBR,Australia,Australia,au,10,Flinders Reef,Outer,Coral Sea,Coral Sea
10020,10,2012-09-26 15:36:36,2012-09-26 16:21:13,GBR,Australia,Australia,au,10,Flinders Reef,Outer,Coral Sea,Coral Sea
10021,10,2012-09-27 15:40:00,2012-09-27 16:26:00,GBR,Australia,Australia,au,10,Myrmidon Reef,Outer,Townsville-Whitsunday,Great Barrier Reef
10022,10,2012-09-27 10:50:00,2012-09-27 11:41:00,GBR,Australia,Australia,au,10,Myrmidon Reef,Outer,Townsville-Whitsunday,Great Barrier Reef
10023,10,2012-09-28 10:11:00,2012-09-28 11:06:00,GBR,Australia,Australia,au,10,Myrmidon Reef,Outer,Townsville-Whitsunday,Great Barrier Reef
10024,10,2012-09-28 07:43:00,2012-09-28 08:35:00,GBR,Australia,Australia,au,10,Myrmidon Reef,Outer,Townsville-Whitsunday,Great Barrier Reef
10025,10,2012-09-24 16:20:00,2012-09-24 16:59:00,GBR,Australia,Australia,au,10,Flinders Reef,Outer,Coral Sea,Coral Sea
10026,10,2012-09-22 16:10:00,2012-09-22 16:56:00,GBR,Australia,Australia,au,10,Holmes Reef,Outer,Coral Sea,Coral Sea
11001,11,2012-10-06 11:25:00,2012-10-06 12:09:00,GBR,Australia,Australia,au,10,Davies Reef,Middle,Townsville-Whitsunday,Great Barrier Reef
11002,11,2012-10-06 15:35:00,2012-10-06 16:30:00,GBR,Australia,Australia,au,10,Davies Reef,Middle,Townsville-Whitsunday,Great Barrier Reef
11003,11,2012-10-07 11:30:00,2012-10-07 12:17:00,GBR,Australia,Australia,au,10,Chicken Reef,Outer,Townsville-Whitsunday,Great Barrier Reef
11004,11,2012-10-07 14:21:16,2012-10-07 16:04:53,GBR,Australia,Australia,au,10,Chicken Reef,Outer,Townsville-Whitsunday,Great Barrier Reef
11005,11,2012-10-08 12:19:00,2012-10-08 12:46:00,GBR,Australia,Australia,au,10,Knife Reef,Outer,Townsville-Whitsunday,Great Barrier Reef
11006,11,2012-10-08 10:01:30,2012-10-08 11:23:21,GBR,Australia,Australia,au,10,Knife Reef,Outer,Townsville-Whitsunday,Great Barrier Reef
11007,11,2012-10-08 14:28:57,2012-10-08 14:55:39,GBR,Australia,Australia,au,10,Knife Reef,Outer,Townsville-Whitsunday,Great Barrier Reef
11008,11,2012-10-09 15:35:00,2012-10-09 16:30:00,GBR,Australia,Australia,au,10,Yongala Reef,Outer,Townsville-Whitsunday,Great Barrier Reef
11009,11,2012-10-09 09:10:00,2012-10-09 10:10:00,GBR,Australia,Australia,au,10,Yongala Reef,Outer,Townsville-Whitsunday,Great Barrier Reef
11010,11,2012-10-09 12:15:00,2012-10-09 13:05:00,GBR,Australia,Australia,au,10,Yongala Reef,Outer,Townsville-Whitsunday,Great Barrier Reef
12001,12,2012-10-20 11:48:00,2012-10-20 12:26:00,GBR,Australia,Australia,au,10,Ribbon Reef 9,Outer,Cairns-Cooktown,Great Barrier Reef
12002,12,2012-10-20 10:17:00,2012-10-20 10:57:00,GBR,Australia,Australia,au,10,Ribbon Reef 9,Outer,Cairns-Cooktown,Great Barrier Reef
12003,12,2012-10-31 14:09:00,2012-10-31 14:25:00,GBR,Australia,Australia,au,10,Ribbon Reef 9,Outer,Cairns-Cooktown,Great Barrier Reef
12004,12,2012-10-21 15:13:00,2012-10-21 15:57:00,GBR,Australia,Australia,au,10,Yonge Reef,Outer,Cairns-Cooktown,Great Barrier Reef
12005,12,2012-10-21 10:11:00,2012-10-21 10:51:00,GBR,Australia,Australia,au,10,Yonge Reef,Outer,Cairns-Cooktown,Great Barrier Reef
12007,12,2012-10-22 09:03:00,2012-10-22 10:15:00,GBR,Australia,Australia,au,10,Day Reef,Outer,Cairns-Cooktown,Great Barrier Reef
12008,12,2012-10-23 15:15:45,2012-10-23 15:34:48,GBR,Australia,Australia,au,10,Osprey Reef,Outer,Coral Sea,Coral Sea
12009,12,2012-10-23 09:50:00,2012-10-23 10:34:00,GBR,Australia,Australia,au,10,Osprey Reef,Outer,Coral Sea,Coral Sea
12010,12,2012-10-23 11:44:00,2012-10-23 12:27:00,GBR,Australia,Australia,au,10,Osprey Reef,Outer,Coral Sea,Coral Sea
12011,12,2012-10-24 08:49:00,2012-10-24 09:27:00,GBR,Australia,Australia,au,10,Osprey Reef,Outer,Coral Sea,Coral Sea
12012,12,2012-10-24 10:43:00,2012-10-24 11:09:00,GBR,Australia,Australia,au,10,Osprey Reef,Outer,Coral Sea,Coral Sea
12013,12,2012-10-24 12:57:00,2012-10-24 13:21:00,GBR,Australia,Australia,au,10,Osprey Reef,Outer,Coral Sea,Coral Sea
12014,12,2012-10-24 14:37:00,2012-10-24 15:01:00,GBR,Australia,Australia,au,10,Osprey Reef,Outer,Coral Sea,Coral Sea
12015,12,2012-10-25 12:12:00,2012-10-25 12:50:00,GBR,Australia,Australia,au,10,Osprey Reef,Outer,Coral Sea,Coral Sea
