transectid,exp_id,start_datetime,end_datetime,campaing,region,country,country_code,timezone,reef_name,reef_type,sub_region,local_region
32001,32,2014-09-20 09:57:00,2014-09-20 10:53:00,SEA,Southeast Asia,Indonesia,id,8,Wawontulap Zone Bunaken Nation,Fringing,Manado,Coral Triangle
32002,32,2014-09-20 11:32:00,2014-09-20 12:10:00,SEA,Southeast Asia,Indonesia,id,8,Wawontulap Zone Bunaken Nation,Fringing,Manado,Coral Triangle
32003,32,2014-09-20 12:57:00,2014-09-20 13:44:00,SEA,Southeast Asia,Indonesia,id,8,Wawontulap Zone Bunaken Nation,Fringing,Manado,Coral Triangle
32004,32,2014-09-21 10:27:00,2014-09-21 11:21:00,SEA,Southeast Asia,Indonesia,id,8,Western Mainland Manado,Fringing,Manado,Coral Triangle
32005,32,2014-09-21 11:52:00,2014-09-21 12:48:00,SEA,Southeast Asia,Indonesia,id,8,Western Mainland Manado,Fringing,Manado,Coral Triangle
32006,32,2014-09-21 13:42:00,2014-09-21 14:38:00,SEA,Southeast Asia,Indonesia,id,8,Western Mainland Manado,Fringing,Manado,Coral Triangle
32007,32,2014-09-22 10:53:00,2014-09-22 11:50:00,SEA,Southeast Asia,Indonesia,id,8,Tailise Island,Fringing,Manado,Coral Triangle
32008,32,2014-09-22 12:34:00,2014-09-22 13:25:00,SEA,Southeast Asia,Indonesia,id,8,Tailise Island,Fringing,Manado,Coral Triangle
32009,32,2014-09-22 14:20:00,2014-09-22 15:16:00,SEA,Southeast Asia,Indonesia,id,8,Tailise Island,Fringing,Manado,Coral Triangle
32010,32,2014-09-24 10:38:00,2014-09-24 11:20:00,SEA,Southeast Asia,Indonesia,id,8,Bangka Island,Fringing,Manado,Coral Triangle
32011,32,2014-09-24 13:21:00,2014-09-24 14:15:00,SEA,Southeast Asia,Indonesia,id,8,Bangka Island,Fringing,Manado,Coral Triangle
32012,32,2014-09-24 15:05:00,2014-09-24 16:00:00,SEA,Southeast Asia,Indonesia,id,8,Bangka Island,Fringing,Manado,Coral Triangle
32013,32,2014-09-25 09:16:00,2014-09-25 10:11:00,SEA,Southeast Asia,Indonesia,id,8,Bangka Island,Fringing,Manado,Coral Triangle
32014,32,2014-09-25 12:10:00,2014-09-25 13:06:00,SEA,Southeast Asia,Indonesia,id,8,Bangka Island,Fringing,Manado,Coral Triangle
32015,32,2014-09-25 14:03:00,2014-09-25 15:03:00,SEA,Southeast Asia,Indonesia,id,8,Bangka Island,Fringing,Manado,Coral Triangle
32016,32,2014-09-27 10:32:00,2014-09-27 10:59:00,SEA,Southeast Asia,Indonesia,id,8,Lembeh Straits,Fringing,Manado,Coral Triangle
32017,32,2014-09-27 12:15:00,2014-09-27 13:11:00,SEA,Southeast Asia,Indonesia,id,8,Lembeh Straits,Fringing,Manado,Coral Triangle
32018,32,2014-09-27 14:00:00,2014-09-27 14:55:00,SEA,Southeast Asia,Indonesia,id,8,Lembeh Straits,Fringing,Manado,Coral Triangle
32019,32,2014-09-28 09:42:00,2014-09-28 10:43:00,SEA,Southeast Asia,Indonesia,id,8,Lembeh Island,Fringing,Manado,Coral Triangle
32020,32,2014-09-28 11:45:00,2014-09-28 12:41:00,SEA,Southeast Asia,Indonesia,id,8,Lembeh Island,Fringing,Manado,Coral Triangle
32021,32,2014-09-28 15:25:00,2014-09-28 16:23:00,SEA,Southeast Asia,Indonesia,id,8,Lembeh Island,Fringing,Manado,Coral Triangle
32022,32,2014-09-29 08:55:00,2014-09-29 09:55:00,SEA,Southeast Asia,Indonesia,id,8,Northern Mainland Manado,Fringing,Manado,Coral Triangle
32023,32,2014-09-29 11:29:00,2014-09-29 12:38:00,SEA,Southeast Asia,Indonesia,id,8,Northern Mainland Manado,Fringing,Manado,Coral Triangle
32024,32,2014-09-29 13:54:00,2014-09-29 14:52:00,SEA,Southeast Asia,Indonesia,id,8,Northern Mainland Manado,Fringing,Manado,Coral Triangle
32025,32,2014-09-30 11:16:00,2014-09-30 12:11:00,SEA,Southeast Asia,Indonesia,id,8,Manadotua Island Bunaken Natio,Fringing,Manado,Coral Triangle
32026,32,2014-09-30 12:46:00,2014-09-30 13:35:00,SEA,Southeast Asia,Indonesia,id,8,Manadotua Island Bunaken Natio,Fringing,Manado,Coral Triangle
32027,32,2014-09-30 14:22:00,2014-09-30 14:49:00,SEA,Southeast Asia,Indonesia,id,8,Manadotua Island Bunaken Natio,Fringing,Manado,Coral Triangle
32028,32,2014-09-30 15:18:00,2014-09-30 16:05:00,SEA,Southeast Asia,Indonesia,id,8,Manadotua Island Bunaken Natio,Fringing,Manado,Coral Triangle
32029,32,2014-10-01 09:58:00,2014-10-01 10:54:00,SEA,Southeast Asia,Indonesia,id,8,Bunaken Island Bunaken Nationa,Fringing,Manado,Coral Triangle
32030,32,2014-10-01 11:33:00,2014-10-01 12:27:00,SEA,Southeast Asia,Indonesia,id,8,Bunaken Island Bunaken Nationa,Fringing,Manado,Coral Triangle
