transectid,exp_id,start_datetime,end_datetime,campaing,region,country,country_code,timezone,reef_name,reef_type,sub_region,local_region
37001,37,2015-03-29 12:50:00,2015-03-29 13:42:00,IO,Indian.Ocean,Maldives,mv,5,Hulumale.PW1,Atoll,Maldives,Indian_Ocean
37002,37,2015-03-30 10:03:00,2015-03-30 11:10:00,IO,Indian.Ocean,Maldives,mv,5,Reethirah.PL1,Atoll,Maldives,Indian_Ocean
37003,37,2015-03-30 15:37:00,2015-03-30 16:32:00,IO,Indian.Ocean,Maldives,mv,5,Rasfari.UL1,Atoll,Maldives,Indian_Ocean
37004,37,2015-03-31 10:37:00,2015-03-31 11:43:00,IO,Indian.Ocean,Maldives,mv,5,Velidhoo.MRC,Atoll,Maldives,Indian_Ocean
37005,37,2015-03-31 16:13:00,2015-03-31 17:02:00,IO,Indian.Ocean,Maldives,mv,5,Coral.Gardens,Atoll,Maldives,Indian_Ocean
37006,37,2015-04-01 09:13:00,2015-04-01 10:18:00,IO,Indian.Ocean,Maldives,mv,5,Mathiveri.PW2,Atoll,Maldives,Indian_Ocean
37007,37,2015-04-01 14:51:00,2015-04-01 16:01:00,IO,Indian.Ocean,Maldives,mv,5,Dinoluga.UW1,Atoll,Maldives,Indian_Ocean
37008,37,2015-04-02 09:55:00,2015-04-02 10:58:00,IO,Indian.Ocean,Maldives,mv,5,Fesdhoo.MRC,Atoll,Maldives,Indian_Ocean
37009,37,2015-04-02 14:34:00,2015-04-02 16:01:00,IO,Indian.Ocean,Maldives,mv,5,Kandholhudhoo.MRC,Atoll,Maldives,Indian_Ocean
37010,37,2015-04-03 09:30:00,2015-04-03 10:42:00,IO,Indian.Ocean,Maldives,mv,5,Dhiggaru.Falhu.UL2,Atoll,Maldives,Indian_Ocean
37011,37,2015-04-03 15:07:00,2015-04-03 16:06:00,IO,Indian.Ocean,Maldives,mv,5,Dhangethi.PL2,Atoll,Maldives,Indian_Ocean
37012,37,2015-04-04 08:34:00,2015-04-04 09:46:00,IO,Indian.Ocean,Maldives,mv,5,Maamigili.PW3,Atoll,Maldives,Indian_Ocean
37013,37,2015-04-04 10:17:00,2015-04-04 11:03:00,IO,Indian.Ocean,Maldives,mv,5,Maamigili.West,Atoll,Maldives,Indian_Ocean
37014,37,2015-04-05 09:35:00,2015-04-05 10:25:00,IO,Indian.Ocean,Maldives,mv,5,Huluveli.UL3,Atoll,Maldives,Indian_Ocean
37015,37,2015-04-05 13:41:00,2015-04-05 15:40:00,IO,Indian.Ocean,Maldives,mv,5,Kudahuvadhoo.PW5,Atoll,Maldives,Indian_Ocean
37016,37,2015-04-06 10:05:00,2015-04-06 10:06:00,IO,Indian.Ocean,Maldives,mv,5,Thimarafushi.PW6,Atoll,Maldives,Indian_Ocean
37017,37,2015-04-06 16:02:00,2015-04-06 17:10:00,IO,Indian.Ocean,Maldives,mv,5,Fenfushi.UW4,Atoll,Maldives,Indian_Ocean
37018,37,2015-04-07 10:06:00,2015-04-07 11:12:00,IO,Indian.Ocean,Maldives,mv,5,Vilifushi.PL3,Atoll,Maldives,Indian_Ocean
37019,37,2015-04-07 15:33:00,2015-04-07 16:35:00,IO,Indian.Ocean,Maldives,mv,5,Olhugiri.UL4,Atoll,Maldives,Indian_Ocean
37020,37,2015-04-08 09:35:00,2015-04-08 10:36:00,IO,Indian.Ocean,Maldives,mv,5,Kureli,Atoll,Maldives,Indian_Ocean
37021,37,2015-04-08 14:32:00,2015-04-08 15:36:00,IO,Indian.Ocean,Maldives,mv,5,Kudahini,Atoll,Maldives,Indian_Ocean
37022,37,2015-04-09 09:25:00,2015-04-09 10:28:00,IO,Indian.Ocean,Maldives,mv,5,Muli,Atoll,Maldives,Indian_Ocean
37023,37,2015-04-09 13:00:00,2015-04-09 13:40:00,IO,Indian.Ocean,Maldives,mv,5,Muli.Kandu,Atoll,Maldives,Indian_Ocean
37024,37,2015-04-09 14:53:00,2015-04-09 15:32:00,IO,Indian.Ocean,Maldives,mv,5,Hakura.Thila,Atoll,Maldives,Indian_Ocean
37025,37,2015-04-10 10:50:00,2015-04-10 11:49:00,IO,Indian.Ocean,Maldives,mv,5,Kuralu,Atoll,Maldives,Indian_Ocean
37026,37,2015-04-10 15:07:00,2015-04-10 16:18:00,IO,Indian.Ocean,Maldives,mv,5,Vattaru,Atoll,Maldives,Indian_Ocean
37027,37,2015-04-11 09:00:00,2015-04-11 10:14:00,IO,Indian.Ocean,Maldives,mv,5,Rakeedoo,Atoll,Maldives,Indian_Ocean
37028,37,2015-04-11 14:25:00,2015-04-11 15:27:00,IO,Indian.Ocean,Maldives,mv,5,Kuda.Faarvuri.Falhu,Atoll,Maldives,Indian_Ocean
37029,37,2015-04-12 12:00:00,2015-04-13 12:00:00,IO,Indian.Ocean,Maldives,mv,5,Anbarra,Atoll,Maldives,Indian_Ocean
37030,37,2015-04-12 15:24:00,2015-04-12 16:25:00,IO,Indian.Ocean,Maldives,mv,5,Madhiggaru.Falhu,Atoll,Maldives,Indian_Ocean
37031,37,2015-04-13 09:13:00,2015-04-13 10:16:00,IO,Indian.Ocean,Maldives,mv,5,Medufaru,Atoll,Maldives,Indian_Ocean
37032,37,2015-04-13 13:56:00,2015-04-13 15:12:00,IO,Indian.Ocean,Maldives,mv,5,Fulidoo,Atoll,Maldives,Indian_Ocean
