transectid,exp_id,start_datetime,end_datetime,campaing,region,country,country_code,timezone,reef_name,reef_type,sub_region,local_region
26001,26,2014-03-17 12:51:00,2014-03-17 13:43:00,SEA,Southeast Asia,Philippines,ph,8,Tubbataha Natural Marine Park,Atoll,Philippines,Coral Triangle
26002,26,2014-03-17 16:35:00,2014-03-17 17:29:00,SEA,Southeast Asia,Philippines,ph,8,Tubbataha Natural Marine Park,Atoll,Philippines,Coral Triangle
26003,26,2014-03-18 09:19:00,2014-03-18 10:18:00,SEA,Southeast Asia,Philippines,ph,8,Tubbataha Natural Marine Park,Atoll,Philippines,Coral Triangle
26004,26,2014-03-18 10:56:00,2014-03-18 11:54:00,SEA,Southeast Asia,Philippines,ph,8,Tubbataha Natural Marine Park,Atoll,Philippines,Coral Triangle
26005,26,2014-03-18 13:10:00,2014-03-18 14:02:00,SEA,Southeast Asia,Philippines,ph,8,Tubbataha Natural Marine Park,Atoll,Philippines,Coral Triangle
26006,26,2014-03-19 08:00:00,2014-03-19 09:00:00,SEA,Southeast Asia,Philippines,ph,8,Tubbataha Natural Marine Park,Atoll,Philippines,Coral Triangle
26007,26,2014-03-19 10:24:00,2014-03-19 11:14:00,SEA,Southeast Asia,Philippines,ph,8,Tubbataha Natural Marine Park,Atoll,Philippines,Coral Triangle
26008,26,2014-03-19 14:48:00,2014-03-19 15:46:00,SEA,Southeast Asia,Philippines,ph,8,Tubbataha Natural Marine Park,Atoll,Philippines,Coral Triangle
26009,26,2014-03-20 08:09:00,2014-03-20 09:09:00,SEA,Southeast Asia,Philippines,ph,8,Tubbataha Natural Marine Park,Atoll,Philippines,Coral Triangle
26010,26,2014-03-20 11:24:00,2014-03-20 12:22:00,SEA,Southeast Asia,Philippines,ph,8,Tubbataha Natural Marine Park,Atoll,Philippines,Coral Triangle
26011,26,2014-03-20 15:00:00,2014-03-20 16:06:00,SEA,Southeast Asia,Philippines,ph,8,Tubbataha Natural Marine Park,Atoll,Philippines,Coral Triangle
26012,26,2014-03-21 08:18:00,2014-03-21 09:26:00,SEA,Southeast Asia,Philippines,ph,8,Tubbataha Natural Marine Park,Atoll,Philippines,Coral Triangle
26013,26,2014-03-21 09:55:00,2014-03-21 10:59:00,SEA,Southeast Asia,Philippines,ph,8,Tubbataha Natural Marine Park,Atoll,Philippines,Coral Triangle
26014,26,2014-03-19 10:27:13,2014-03-19 11:16:20,SEA,Southeast Asia,Philippines,ph,8,Tubbataha Natural Marine Park,Atoll,Philippines,Coral Triangle
26015,26,2014-03-19 10:24:00,2014-03-19 11:14:00,SEA,Southeast Asia,Philippines,ph,8,Tubbataha Natural Marine Park,Atoll,Philippines,Coral Triangle
