transectid,exp_id,start_datetime,end_datetime,campaing,region,country,country_code,timezone,reef_name,reef_type,sub_region,local_region
22001,22,2013-10-02 09:54:00,2013-10-02 10:40:00,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-4,Bequia,Fringing,Lesser Antilles,Great Caribbean
22002,22,2013-10-02 11:53:00,2013-10-02 12:42:00,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-4,Bequia,Fringing,Lesser Antilles,Great Caribbean
22003,22,2013-10-02 13:52:00,2013-10-02 14:38:00,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-4,Petit Nevis,Fringing,Lesser Antilles,Great Caribbean
22004,22,2013-10-03 09:42:05,2013-10-03 10:27:50,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-4,Bequia,Fringing,Lesser Antilles,Great Caribbean
22005,22,2013-10-03 12:05:48,2013-10-03 12:54:55,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-4,Battowia,Fringing,Lesser Antilles,Great Caribbean
22006,22,2013-10-03 14:02:53,2013-10-03 14:48:27,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-4,Baliceaux,Fringing,Lesser Antilles,Great Caribbean
22007,22,2013-10-04 09:17:25,2013-10-04 09:56:56,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-4,Mustique,Fringing,Lesser Antilles,Great Caribbean
22008,22,2013-10-04 11:06:24,2013-10-04 11:48:31,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-4,Mustique,Fringing,Lesser Antilles,Great Caribbean
22009,22,2013-10-04 13:00:16,2013-10-04 13:46:07,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-4,Mustique,Fringing,Lesser Antilles,Great Caribbean
22010,22,2013-10-05 09:29:00,2013-10-05 10:10:00,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-4,Petit St. Vincent,Fringing,Lesser Antilles,Great Caribbean
22011,22,2013-10-05 11:26:00,2013-10-05 12:12:00,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-4,Palm Island,Fringing,Lesser Antilles,Great Caribbean
22012,22,2013-10-05 13:27:00,2013-10-05 14:05:00,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-4,Union Island,Fringing,Lesser Antilles,Great Caribbean
22013,22,2013-10-06 11:18:40,2013-10-06 12:03:05,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-4,Tobago Cays,Fringing,Lesser Antilles,Great Caribbean
22014,22,2013-10-06 13:35:55,2013-10-06 14:15:56,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-4,Tobago Cays,Fringing,Lesser Antilles,Great Caribbean
22015,22,2013-10-06 15:52:23,2013-10-06 16:36:40,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-4,Tobago Cays,Fringing,Lesser Antilles,Great Caribbean
22016,22,2013-10-07 10:18:00,2013-10-07 10:31:00,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-4,Tobago Cays,Fringing,Lesser Antilles,Great Caribbean
22017,22,2013-10-07 11:52:00,2013-10-07 12:19:00,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-4,Mayreau,Fringing,Lesser Antilles,Great Caribbean
22018,22,2013-10-07 13:30:00,2013-10-07 14:30:00,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-4,Mayreau,Fringing,Lesser Antilles,Great Caribbean
22019,22,2013-10-07 15:50:00,2013-10-07 16:26:00,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-5,Mayreau,Fringing,Lesser Antilles,Great Caribbean
22020,22,2013-10-08 09:46:00,2013-10-08 10:34:00,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-4,Canouan,Fringing,Lesser Antilles,Great Caribbean
22021,22,2013-10-08 11:52:40,2013-10-08 12:36:53,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-4,Canouan,Fringing,Lesser Antilles,Great Caribbean
22022,22,2013-10-08 13:36:48,2013-10-08 14:11:33,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-4,Canouan,Fringing,Lesser Antilles,Great Caribbean
22023,22,2013-10-09 10:41:33,2013-10-09 11:28:12,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-4,St. Vincent,Fringing,Lesser Antilles,Great Caribbean
22024,22,2013-10-09 12:29:00,2013-10-09 13:17:00,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-4,St. Vincent,Fringing,Lesser Antilles,Great Caribbean
22025,22,2013-10-09 14:35:23,2013-10-09 15:05:09,CRB,Atlantic,Saint Vincent and the Grenadines,vc,-4,St. Vincent,Fringing,Lesser Antilles,Great Caribbean
