transectid,exp_id,start_datetime,end_datetime,campaing,region,country,country_code,timezone,reef_name,reef_type,sub_region,local_region
24032,24,2013-11-11 11:23:27,2013-11-11 12:12:33,CRB,Atlantic,Turks and Caicos Islands,tc,-5,Providenciales,Fringing,Lucayan Archipelago,Great Caribbean
24033,24,2013-11-11 13:20:05,2013-11-11 14:05:47,CRB,Atlantic,Turks and Caicos Islands,tc,-5,Providenciales,Fringing,Lucayan Archipelago,Great Caribbean
24034,24,2013-11-11 15:05:38,2013-11-11 15:49:54,CRB,Atlantic,Turks and Caicos Islands,tc,-5,Providenciales,Fringing,Lucayan Archipelago,Great Caribbean
24035,24,2013-11-12 08:57:11,2013-11-12 09:43:17,CRB,Atlantic,Turks and Caicos Islands,tc,-5,North Caicos,Fringing,Lucayan Archipelago,Great Caribbean
24036,24,2013-11-12 13:39:06,2013-11-12 13:45:40,CRB,Atlantic,Turks and Caicos Islands,tc,-5,Providenciales,Fringing,Lucayan Archipelago,Great Caribbean
24037,24,2013-11-12 14:03:16,2013-11-12 14:31:05,CRB,Atlantic,Turks and Caicos Islands,tc,-5,Pine Cay,Fringing,Lucayan Archipelago,Great Caribbean
24038,24,2013-11-12 15:30:00,2013-11-12 16:12:00,CRB,Atlantic,Turks and Caicos Islands,tc,-5,North Caicos,Fringing,Lucayan Archipelago,Great Caribbean
24039,24,2013-11-13 08:43:00,2013-11-13 09:44:00,CRB,Atlantic,Turks and Caicos Islands,tc,-5,West Caicos,Fringing,Lucayan Archipelago,Great Caribbean
24040,24,2013-11-13 12:28:18,2013-11-13 12:56:33,CRB,Atlantic,Turks and Caicos Islands,tc,-5,West Caicos,Fringing,Lucayan Archipelago,Great Caribbean
24041,24,2013-11-13 15:20:00,2013-11-13 16:01:00,CRB,Atlantic,Turks and Caicos Islands,tc,-5,West Caicos,Fringing,Lucayan Archipelago,Great Caribbean
24042,24,2013-11-14 08:25:00,2013-11-14 09:00:00,CRB,Atlantic,Turks and Caicos Islands,tc,-5,Northwest Point,Fringing,Lucayan Archipelago,Great Caribbean
24043,24,2013-11-14 11:07:02,2013-11-14 11:39:32,CRB,Atlantic,Turks and Caicos Islands,tc,-5,Northwest Point,Fringing,Lucayan Archipelago,Great Caribbean
24044,24,2013-11-14 11:44:00,2013-11-14 12:32:00,CRB,Atlantic,Turks and Caicos Islands,tc,-5,Northwest Point,Fringing,Lucayan Archipelago,Great Caribbean
24045,24,2013-11-15 09:29:00,2013-11-15 10:20:00,CRB,Atlantic,Turks and Caicos Islands,tc,-5,South Caicos,Fringing,Lucayan Archipelago,Great Caribbean
24046,24,2013-11-15 11:49:00,2013-11-15 12:39:00,CRB,Atlantic,Turks and Caicos Islands,tc,-5,South Caicos,Fringing,Lucayan Archipelago,Great Caribbean
24047,24,2013-11-15 13:30:00,2013-11-15 14:14:00,CRB,Atlantic,Turks and Caicos Islands,tc,-5,South Caicos,Fringing,Lucayan Archipelago,Great Caribbean
