transectid,exp_id,start_datetime,end_datetime,campaing,region,country,country_code,timezone,reef_name,reef_type,sub_region,local_region
31001,31,2014-08-06 11:46:00,2014-08-06 12:25:00,NOAA,Atlantic,United States,us,-5,Florida Upper Keys,Patch,Florida Keys,Great Caribbean
31002,31,2014-08-06 13:59:00,2014-08-06 14:20:00,NOAA,Atlantic,United States,us,-5,Jesus Christ Statue,Patch,Florida Keys,Great Caribbean
31003,31,2014-08-07 14:37:41,2014-08-07 17:14:13,NOAA,Atlantic,United States,us,-4,Aquarius Reef Base,,Florida Keys,Great Caribbean
31004,31,2014-08-07 16:35:00,2014-08-07 17:14:00,NOAA,Atlantic,United States,us,-5,Conch Reef,Terrace,Florida Keys,Great Caribbean
31005,31,2014-08-08 13:13:00,2014-08-08 13:57:00,NOAA,Atlantic,United States,us,-5,Davis Reef,Spur And Grooves,Florida Keys,Great Caribbean
31006,31,2014-08-08 13:13:00,2014-08-08 13:57:00,NOAA,Atlantic,United States,us,-5,Crocker Reef,Spur And Grooves,Florida Keys,Great Caribbean
31007,31,2014-08-09 13:00:00,2014-08-09 13:22:00,NOAA,Atlantic,United States,us,-5,Coral Nursery,,Florida Keys,Great Caribbean
31008,31,2014-08-09 15:50:00,2014-08-09 16:59:00,NOAA,Atlantic,United States,us,-5,Snapper Ledge,Terrace,Florida Keys,Great Caribbean
31009,31,2014-08-10 13:16:00,2014-08-10 14:48:00,NOAA,Atlantic,United States,us,-5,Molasses Reef,Patch,Florida Keys,Great Caribbean
31010,31,2014-08-10 16:12:00,2014-08-10 16:42:00,NOAA,Atlantic,United States,us,-5,French Reef,Patch,Florida Keys,Great Caribbean
31011,31,2014-08-11 15:04:00,2014-08-11 15:36:00,NOAA,Atlantic,United States,us,-5,Cheeca Rocks,Path,Florida Keys,Great Caribbean
31012,31,2014-08-11 16:19:00,2014-08-11 16:37:00,NOAA,Atlantic,United States,us,-5,Cheeca Rocks,Path,Florida Keys,Great Caribbean
31013,31,2014-08-12 12:07:00,2014-08-12 13:08:00,NOAA,Atlantic,United States,us,-5,Benwood Wreck,Wreck,Florida Keys,Great Caribbean
31014,31,2014-08-12 14:17:00,2014-08-12 15:12:00,NOAA,Atlantic,United States,us,-5,French Reef,Patch,Florida Keys,Great Caribbean
